2024-12-05 13:30:04,750 INFO: ------Begin Training Model------ 
2024-12-05 13:38:27,524 INFO: Epoch 68, Test Loss: 0.0884799395998319 
2024-12-05 13:38:34,305 INFO: Epoch 69, Train Loss: 0.09495890127462253 
2024-12-05 13:38:34,883 INFO: Epoch 69, Test Loss: 0.08788060036798319 
2024-12-05 13:38:41,628 INFO: Epoch 70, Train Loss: 0.09470774233341217 
2024-12-05 13:38:42,207 INFO: Epoch 70, Test Loss: 0.08860513009130955 
2024-12-05 13:38:48,973 INFO: Epoch 71, Train Loss: 0.09543530054782566 
2024-12-05 13:38:49,554 INFO: Epoch 71, Test Loss: 0.08956253354748091 
2024-12-05 13:38:56,293 INFO: Epoch 72, Train Loss: 0.09342206916526745 
2024-12-05 13:38:56,874 INFO: Epoch 72, Test Loss: 0.08741334242125352 
2024-12-05 13:39:03,620 INFO: Epoch 73, Train Loss: 0.09378268635063841 
2024-12-05 13:39:04,201 INFO: Epoch 73, Test Loss: 0.08645661969979604 
2024-12-05 13:39:10,973 INFO: Epoch 74, Train Loss: 0.0922143830215199 
2024-12-05 13:39:11,552 INFO: Epoch 74, Test Loss: 0.08820979744195938 
2024-12-05 13:39:18,301 INFO: Epoch 75, Train Loss: 0.0914598721684071 
2024-12-05 13:39:18,880 INFO: Epoch 75, Test Loss: 0.08658203532298406 
2024-12-05 13:39:25,618 INFO: Epoch 76, Train Loss: 0.09107186292347155 
2024-12-05 13:39:26,197 INFO: Epoch 76, Test Loss: 0.08678162544965744 
2024-12-05 13:39:32,939 INFO: Epoch 77, Train Loss: 0.09314354424152457 
2024-12-05 13:39:33,520 INFO: Epoch 77, Test Loss: 0.08587625374396642 
2024-12-05 13:39:40,288 INFO: Epoch 78, Train Loss: 0.09195903113536667 
2024-12-05 13:39:40,866 INFO: Epoch 78, Test Loss: 0.08832686344782512 
2024-12-05 13:39:47,623 INFO: Epoch 79, Train Loss: 0.0922885456106119 
2024-12-05 13:39:48,204 INFO: Epoch 79, Test Loss: 0.0864915169775486 
2024-12-05 13:39:54,965 INFO: Epoch 80, Train Loss: 0.09070995561124985 
2024-12-05 13:39:55,546 INFO: Epoch 80, Test Loss: 0.08418480530381203 
2024-12-05 13:40:02,310 INFO: Epoch 81, Train Loss: 0.09013829680911281 
2024-12-05 13:40:02,890 INFO: Epoch 81, Test Loss: 0.08504658627013366 
2024-12-05 13:40:09,653 INFO: Epoch 82, Train Loss: 0.09071846874920945 
2024-12-05 13:40:10,234 INFO: Epoch 82, Test Loss: 0.09620830565690994 
2024-12-05 13:40:16,974 INFO: Epoch 83, Train Loss: 0.09211038667381856 
2024-12-05 13:40:17,553 INFO: Epoch 83, Test Loss: 0.08362529252966246 
2024-12-05 13:40:24,321 INFO: Epoch 84, Train Loss: 0.09092381243643008 
2024-12-05 13:40:24,900 INFO: Epoch 84, Test Loss: 0.08262705827752749 
2024-12-05 13:40:31,664 INFO: Epoch 85, Train Loss: 0.08605071791169937 
2024-12-05 13:40:32,247 INFO: Epoch 85, Test Loss: 0.08404649694760641 
2024-12-05 13:40:39,024 INFO: Epoch 86, Train Loss: 0.08567620186429274 
2024-12-05 13:40:39,603 INFO: Epoch 86, Test Loss: 0.08260208070278167 
2024-12-05 13:40:46,364 INFO: Epoch 87, Train Loss: 0.08524450470219579 
2024-12-05 13:40:46,942 INFO: Epoch 87, Test Loss: 0.08202205350001653 
2024-12-05 13:40:53,727 INFO: Epoch 88, Train Loss: 0.08389093158276457 
2024-12-05 13:40:54,307 INFO: Epoch 88, Test Loss: 0.0807009848455588 
2024-12-05 13:41:01,058 INFO: Epoch 89, Train Loss: 0.08445998346596434 
2024-12-05 13:41:01,638 INFO: Epoch 89, Test Loss: 0.08140791530410449 
2024-12-05 13:41:08,415 INFO: Epoch 90, Train Loss: 0.08394027841195725 
2024-12-05 13:41:08,994 INFO: Epoch 90, Test Loss: 0.0839483767747879 
2024-12-05 13:41:15,740 INFO: Epoch 91, Train Loss: 0.08313803242421464 
2024-12-05 13:41:16,321 INFO: Epoch 91, Test Loss: 0.08051066634555658 
2024-12-05 13:41:23,101 INFO: Epoch 92, Train Loss: 0.08196992485931046 
2024-12-05 13:41:23,681 INFO: Epoch 92, Test Loss: 0.08052553571760654 
2024-12-05 13:41:30,423 INFO: Epoch 93, Train Loss: 0.08114880610976302 
2024-12-05 13:41:31,002 INFO: Epoch 93, Test Loss: 0.07921954269210497 
2024-12-05 13:41:37,779 INFO: Epoch 94, Train Loss: 0.08140002485168607 
2024-12-05 13:41:38,357 INFO: Epoch 94, Test Loss: 0.07954362978537878 
2024-12-05 13:41:45,118 INFO: Epoch 95, Train Loss: 0.08310449737728688 
2024-12-05 13:41:45,695 INFO: Epoch 95, Test Loss: 0.07889187335968018 
2024-12-05 13:41:52,447 INFO: Epoch 96, Train Loss: 0.08131409070470877 
2024-12-05 13:41:53,032 INFO: Epoch 96, Test Loss: 0.07773545570671558 
2024-12-05 13:41:59,791 INFO: Epoch 97, Train Loss: 0.07973826108010192 
2024-12-05 13:42:00,372 INFO: Epoch 97, Test Loss: 0.07984532614549002 
2024-12-05 13:42:07,139 INFO: Epoch 98, Train Loss: 0.08062759741095074 
2024-12-05 13:42:07,716 INFO: Epoch 98, Test Loss: 0.07887344012657801 
2024-12-05 13:42:14,482 INFO: Epoch 99, Train Loss: 0.07939825213530607 
2024-12-05 13:42:15,062 INFO: Epoch 99, Test Loss: 0.0770484946668148 
2024-12-05 13:42:21,832 INFO: Epoch 100, Train Loss: 0.07901124100674663 
2024-12-05 13:42:22,411 INFO: Epoch 100, Test Loss: 0.07827672387162844 
2024-12-05 13:42:29,165 INFO: Epoch 101, Train Loss: 0.07851694877210416 
2024-12-05 13:42:29,745 INFO: Epoch 101, Test Loss: 0.07629649564623833 
2024-12-05 13:42:36,499 INFO: Epoch 102, Train Loss: 0.07895388885548241 
2024-12-05 13:42:37,080 INFO: Epoch 102, Test Loss: 0.07687936425209045 
2024-12-05 13:42:43,830 INFO: Epoch 103, Train Loss: 0.07800212064594553 
2024-12-05 13:42:44,411 INFO: Epoch 103, Test Loss: 0.07651021679242452 
2024-12-05 13:42:51,180 INFO: Epoch 104, Train Loss: 0.08702501661160536 
2024-12-05 13:42:51,760 INFO: Epoch 104, Test Loss: 0.07555289541681608 
2024-12-05 13:42:58,518 INFO: Epoch 105, Train Loss: 0.07649046339486774 
2024-12-05 13:42:59,098 INFO: Epoch 105, Test Loss: 0.07678271730740865 
2024-12-05 13:43:05,868 INFO: Epoch 106, Train Loss: 0.08461150481251248 
