2024-12-05 10:38:41,443 INFO: ------Begin Training Model------ 
2024-12-05 10:43:54,167 INFO: Epoch 72, Test Loss: 0.08944538623094558 
2024-12-05 10:43:58,134 INFO: Epoch 73, Train Loss: 0.09502104431698002 
2024-12-05 10:43:58,425 INFO: Epoch 73, Test Loss: 0.08967059224843979 
2024-12-05 10:44:02,392 INFO: Epoch 74, Train Loss: 0.09440774401438605 
2024-12-05 10:44:02,683 INFO: Epoch 74, Test Loss: 0.08971774488687516 
2024-12-05 10:44:06,616 INFO: Epoch 75, Train Loss: 0.09463875233819805 
2024-12-05 10:44:06,911 INFO: Epoch 75, Test Loss: 0.08977225750684738 
2024-12-05 10:44:10,851 INFO: Epoch 76, Train Loss: 0.09451597952043887 
2024-12-05 10:44:11,140 INFO: Epoch 76, Test Loss: 0.08960213601589202 
2024-12-05 10:44:15,091 INFO: Epoch 77, Train Loss: 0.09399355275882888 
2024-12-05 10:44:15,382 INFO: Epoch 77, Test Loss: 0.08958226412534714 
2024-12-05 10:44:19,372 INFO: Epoch 78, Train Loss: 0.09373140269794415 
2024-12-05 10:44:19,677 INFO: Epoch 78, Test Loss: 0.08925436973571778 
2024-12-05 10:44:23,756 INFO: Epoch 79, Train Loss: 0.09323179476039926 
2024-12-05 10:44:24,049 INFO: Epoch 79, Test Loss: 0.08911520272493362 
2024-12-05 10:44:28,075 INFO: Epoch 80, Train Loss: 0.0934165827545923 
2024-12-05 10:44:28,361 INFO: Epoch 80, Test Loss: 0.08879521936178207 
2024-12-05 10:44:32,415 INFO: Epoch 81, Train Loss: 0.09431620618117224 
2024-12-05 10:44:32,714 INFO: Epoch 81, Test Loss: 0.08871563464403152 
2024-12-05 10:44:36,702 INFO: Epoch 82, Train Loss: 0.09360492843942544 
2024-12-05 10:44:36,993 INFO: Epoch 82, Test Loss: 0.08888190597295761 
2024-12-05 10:44:41,040 INFO: Epoch 83, Train Loss: 0.09311758918860524 
2024-12-05 10:44:41,346 INFO: Epoch 83, Test Loss: 0.08889078050851822 
2024-12-05 10:44:45,410 INFO: Epoch 84, Train Loss: 0.0929104367789534 
2024-12-05 10:44:45,706 INFO: Epoch 84, Test Loss: 0.08879935324192047 
2024-12-05 10:44:49,715 INFO: Epoch 85, Train Loss: 0.09271197067093603 
2024-12-05 10:44:50,009 INFO: Epoch 85, Test Loss: 0.09009114921092987 
2024-12-05 10:44:54,057 INFO: Epoch 86, Train Loss: 0.09267824496497813 
2024-12-05 10:44:54,355 INFO: Epoch 86, Test Loss: 0.08891855180263519 
2024-12-05 10:44:58,409 INFO: Epoch 87, Train Loss: 0.09358368322406847 
2024-12-05 10:44:58,694 INFO: Epoch 87, Test Loss: 0.08929009556770325 
2024-12-05 10:45:02,763 INFO: Epoch 88, Train Loss: 0.09291730022307523 
2024-12-05 10:45:03,053 INFO: Epoch 88, Test Loss: 0.08874757409095764 
2024-12-05 10:45:06,970 INFO: Epoch 89, Train Loss: 0.0925965405155703 
2024-12-05 10:45:07,248 INFO: Epoch 89, Test Loss: 0.08839606672525406 
2024-12-05 10:45:11,234 INFO: Epoch 90, Train Loss: 0.09218493196153149 
2024-12-05 10:45:11,531 INFO: Epoch 90, Test Loss: 0.08896409511566163 
2024-12-05 10:45:15,560 INFO: Epoch 91, Train Loss: 0.0922117763266121 
2024-12-05 10:45:15,846 INFO: Epoch 91, Test Loss: 0.08870104134082794 
2024-12-05 10:45:19,779 INFO: Epoch 92, Train Loss: 0.09269497639586016 
2024-12-05 10:45:20,112 INFO: Epoch 92, Test Loss: 0.0895219686627388 
2024-12-05 10:45:24,268 INFO: Epoch 93, Train Loss: 0.0916798153181666 
2024-12-05 10:45:24,562 INFO: Epoch 93, Test Loss: 0.08917610943317414 
2024-12-05 10:45:28,791 INFO: Epoch 94, Train Loss: 0.09136498419894386 
2024-12-05 10:45:29,091 INFO: Epoch 94, Test Loss: 0.0883856400847435 
